totalScore is -20.000000, lmScore is -20.000000, amScore is -215.174133, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.958504, lmScore is -2.560828, amScore is -465.892273, result is sp 布 石头 ,num 3 wordListId is 285 
totalScore is -3.644112, lmScore is -2.646924, amScore is -332.395874, result is sp 布 出 ,num 3 wordListId is 209 
totalScore is -3.716337, lmScore is -2.659703, amScore is -352.211243, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.960041, lmScore is -2.560828, amScore is -466.404449, result is sp 布 石头 ,num 3 wordListId is 103 
totalScore is -3.645374, lmScore is -2.646924, amScore is -332.816742, result is sp 布 出 ,num 3 wordListId is 275 
totalScore is -3.717574, lmScore is -2.659703, amScore is -352.623505, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.490855, lmScore is -2.659703, amScore is -277.050507, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.465787, lmScore is -2.646924, amScore is -272.954376, result is sp 布 出 ,num 3 wordListId is 366 
totalScore is -3.517052, lmScore is -2.560828, amScore is -318.741364, result is sp 布 石头 ,num 3 wordListId is 388 
totalScore is -3.456578, lmScore is -2.560828, amScore is -298.583344, result is sp 布 石头 ,num 3 wordListId is 245 
totalScore is -3.454805, lmScore is -2.646924, amScore is -269.293701, result is ,num 0 wordListId is 282 
totalScore is -3.579720, lmScore is -2.659703, amScore is -306.672089, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.496857, lmScore is -2.659703, amScore is -279.051331, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.471936, lmScore is -2.646924, amScore is -275.004089, result is sp 布 出 ,num 3 wordListId is 129 
totalScore is -3.523995, lmScore is -2.560828, amScore is -321.055695, result is sp 布 石头 ,num 3 wordListId is 299 
totalScore is -3.955461, lmScore is -2.560828, amScore is -464.877808, result is sp 布 石头 ,num 3 wordListId is 127 
totalScore is -3.640397, lmScore is -2.646924, amScore is -331.157654, result is sp 布 出 ,num 3 wordListId is 401 
totalScore is -3.714091, lmScore is -2.659703, amScore is -351.462524, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.495620, lmScore is -2.659703, amScore is -278.639099, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.470674, lmScore is -2.646924, amScore is -274.583221, result is sp 布 出 ,num 3 wordListId is 197 
totalScore is -3.522458, lmScore is -2.560828, amScore is -320.543518, result is sp 布 石头 ,num 3 wordListId is 199 
totalScore is -3.955719, lmScore is -2.560828, amScore is -464.963867, result is sp 布 石头 ,num 3 wordListId is 18 
totalScore is -3.640958, lmScore is -2.646924, amScore is -331.344513, result is sp 布 出 ,num 3 wordListId is 16 
totalScore is -3.714470, lmScore is -2.659703, amScore is -351.588867, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.957256, lmScore is -2.560828, amScore is -465.476044, result is sp 布 石头 ,num 3 wordListId is 281 
totalScore is -3.642220, lmScore is -2.646924, amScore is -331.765381, result is sp 布 出 ,num 3 wordListId is 279 
totalScore is -3.715707, lmScore is -2.659703, amScore is -352.001099, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.495242, lmScore is -2.659703, amScore is -278.512756, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.470113, lmScore is -2.646924, amScore is -274.396362, result is sp 布 出 ,num 3 wordListId is 306 
totalScore is -3.522200, lmScore is -2.560828, amScore is -320.457458, result is sp 布 石头 ,num 3 wordListId is 311 
totalScore is -3.951569, lmScore is -2.560828, amScore is -463.580536, result is ,num 0 wordListId is 50 
totalScore is -3.636746, lmScore is -2.646924, amScore is -329.940582, result is sp 布 sp 锤子 ,num 4 wordListId is 48 
totalScore is -3.710538, lmScore is -2.659703, amScore is -350.278168, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.436260, lmScore is -2.659703, amScore is -258.852325, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.581052, lmScore is -2.646924, amScore is -311.375977, result is sp 布 sp 锤子 ,num 4 wordListId is 48 
totalScore is -3.652112, lmScore is -2.560828, amScore is -363.761566, result is ,num 0 wordListId is 50 
totalScore is -3.349692, lmScore is -2.560828, amScore is -262.954773, result is sp 布 石头 ,num 3 wordListId is 311 
totalScore is -3.316265, lmScore is -2.646924, amScore is -223.113693, result is sp 布 出 ,num 3 wordListId is 306 
totalScore is -3.554175, lmScore is -2.659703, amScore is -298.157349, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.441429, lmScore is -2.659703, amScore is -260.575256, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.586526, lmScore is -2.646924, amScore is -313.200775, result is sp 布 出 ,num 3 wordListId is 279 
totalScore is -3.657799, lmScore is -2.560828, amScore is -365.657074, result is sp 布 石头 ,num 3 wordListId is 281 
totalScore is -3.678467, lmScore is -2.646924, amScore is -343.847626, result is sp 布 sp 锤子 ,num 4 wordListId is 48 
totalScore is -3.908868, lmScore is -2.659703, amScore is -416.388245, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.440192, lmScore is -2.659703, amScore is -260.163025, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.585264, lmScore is -2.646924, amScore is -312.779907, result is sp 布 出 ,num 3 wordListId is 16 
totalScore is -3.656262, lmScore is -2.560828, amScore is -365.144897, result is sp 布 石头 ,num 3 wordListId is 18 
totalScore is -3.349950, lmScore is -2.560828, amScore is -263.040833, result is sp 布 石头 ,num 3 wordListId is 199 
totalScore is -3.316826, lmScore is -2.646924, amScore is -223.300568, result is sp 布 出 ,num 3 wordListId is 197 
totalScore is -3.554554, lmScore is -2.659703, amScore is -298.283691, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.439813, lmScore is -2.659703, amScore is -260.036682, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.584703, lmScore is -2.646924, amScore is -312.593048, result is sp 布 出 ,num 3 wordListId is 401 
totalScore is -3.656004, lmScore is -2.560828, amScore is -365.058838, result is sp 布 石头 ,num 3 wordListId is 127 
totalScore is -3.351487, lmScore is -2.560828, amScore is -263.553009, result is sp 布 石头 ,num 3 wordListId is 299 
totalScore is -3.318088, lmScore is -2.646924, amScore is -223.721436, result is sp 布 出 ,num 3 wordListId is 129 
totalScore is -3.555791, lmScore is -2.659703, amScore is -298.695923, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.532784, lmScore is -2.729686, amScore is -267.699036, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.542411, lmScore is -2.659704, amScore is -294.235840, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.469334, lmScore is -2.560828, amScore is -302.835449, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.271934, lmScore is -2.369306, amScore is -300.876190, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.517649, lmScore is -2.334119, amScore is -394.510010, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.145050, lmScore is -2.180651, amScore is -321.466370, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.781184, lmScore is -1.607373, amScore is -391.270508, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.784653, lmScore is -1.607342, amScore is -392.437103, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.344544, lmScore is -2.560828, amScore is -261.238739, result is sp 布 石头 ,num 3 wordListId is 388 
totalScore is -3.311939, lmScore is -2.646924, amScore is -221.671722, result is sp 布 出 ,num 3 wordListId is 366 
totalScore is -3.549788, lmScore is -2.659703, amScore is -296.695038, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.443296, lmScore is -2.659703, amScore is -261.197662, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.589680, lmScore is -2.646924, amScore is -314.252106, result is sp 布 出 ,num 3 wordListId is 275 
totalScore is -3.660584, lmScore is -2.560828, amScore is -366.585480, result is sp 布 石头 ,num 3 wordListId is 103 
totalScore is -3.678657, lmScore is -2.646924, amScore is -343.911011, result is sp 布 出 ,num 3 wordListId is 401 
totalScore is -3.909625, lmScore is -2.659703, amScore is -416.640564, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.442060, lmScore is -2.659703, amScore is -260.785400, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.588418, lmScore is -2.646924, amScore is -313.831268, result is sp 布 出 ,num 3 wordListId is 209 
totalScore is -3.659048, lmScore is -2.560828, amScore is -366.073303, result is sp 布 石头 ,num 3 wordListId is 285 
totalScore is -3.679218, lmScore is -2.646924, amScore is -344.097900, result is sp 布 出 ,num 3 wordListId is 16 
totalScore is -3.910004, lmScore is -2.659703, amScore is -416.766907, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.680480, lmScore is -2.646924, amScore is -344.518738, result is sp 布 出 ,num 3 wordListId is 279 
totalScore is -3.911241, lmScore is -2.659703, amScore is -417.179169, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.441680, lmScore is -2.659703, amScore is -260.659058, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.587857, lmScore is -2.646924, amScore is -313.644409, result is sp 布 出 ,num 3 wordListId is 368 
totalScore is -3.658789, lmScore is -2.560828, amScore is -365.987244, result is sp 布 石头 ,num 3 wordListId is 370 
totalScore is -3.680711, lmScore is -2.646924, amScore is -344.595673, result is sp 布 出 ,num 3 wordListId is 368 
totalScore is -3.912010, lmScore is -2.659703, amScore is -417.435486, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.681272, lmScore is -2.646924, amScore is -344.782562, result is sp 布 出 ,num 3 wordListId is 209 
totalScore is -3.912389, lmScore is -2.659703, amScore is -417.561829, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.682534, lmScore is -2.646924, amScore is -345.203400, result is sp 布 出 ,num 3 wordListId is 275 
totalScore is -3.913625, lmScore is -2.659703, amScore is -417.974060, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.437546, lmScore is -2.659703, amScore is -259.280792, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.584830, lmScore is -2.646924, amScore is -312.635345, result is sp 布 出 ,num 3 wordListId is 326 
totalScore is -3.654607, lmScore is -2.560828, amScore is -364.593018, result is sp 布 石头 ,num 3 wordListId is 328 
totalScore is -3.346333, lmScore is -2.560828, amScore is -261.835022, result is sp 布 石头 ,num 3 wordListId is 26 
totalScore is -3.313753, lmScore is -2.646924, amScore is -222.276367, result is sp 布 出 ,num 3 wordListId is 24 
totalScore is -3.551385, lmScore is -2.659703, amScore is -297.227386, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.443548, lmScore is -2.659703, amScore is -261.281677, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.590979, lmScore is -2.646924, amScore is -314.685028, result is sp 布 出 ,num 3 wordListId is 379 
totalScore is -3.661550, lmScore is -2.560828, amScore is -366.907288, result is sp 布 石头 ,num 3 wordListId is 385 
totalScore is -3.677557, lmScore is -2.646924, amScore is -343.544281, result is sp 布 出 ,num 3 wordListId is 401 
totalScore is -3.910142, lmScore is -2.659703, amScore is -416.813080, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.442312, lmScore is -2.659703, amScore is -260.869446, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.589716, lmScore is -2.646924, amScore is -314.264160, result is sp 布 出 ,num 3 wordListId is 248 
totalScore is -3.660013, lmScore is -2.560828, amScore is -366.395111, result is sp 布 石头 ,num 3 wordListId is 262 
totalScore is -3.678118, lmScore is -2.646924, amScore is -343.731171, result is sp 布 出 ,num 3 wordListId is 16 
totalScore is -3.910522, lmScore is -2.659703, amScore is -416.939453, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.679380, lmScore is -2.646924, amScore is -344.152039, result is sp 布 出 ,num 3 wordListId is 279 
totalScore is -3.911758, lmScore is -2.659703, amScore is -417.351685, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.441932, lmScore is -2.659703, amScore is -260.743073, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.589156, lmScore is -2.646924, amScore is -314.077301, result is sp 布 出 ,num 3 wordListId is 22 
totalScore is -3.659755, lmScore is -2.560828, amScore is -366.309052, result is sp 布 石头 ,num 3 wordListId is 27 
totalScore is -3.673906, lmScore is -2.646924, amScore is -342.327209, result is sp 布 sp 锤子 ,num 4 wordListId is 48 
totalScore is -3.906590, lmScore is -2.659703, amScore is -415.628754, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.437142, lmScore is -2.659703, amScore is -259.146271, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.584275, lmScore is -2.646924, amScore is -312.450134, result is sp 布 出 ,num 3 wordListId is 124 
totalScore is -3.654352, lmScore is -2.560828, amScore is -364.508026, result is sp 布 石头 ,num 3 wordListId is 134 
totalScore is -3.347878, lmScore is -2.560828, amScore is -262.350189, result is sp 布 石头 ,num 3 wordListId is 270 
totalScore is -3.315030, lmScore is -2.646924, amScore is -222.701965, result is sp 布 出  ,num 4 wordListId is 186 
totalScore is -3.552616, lmScore is -2.659703, amScore is -297.637726, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.436763, lmScore is -2.659703, amScore is -259.019928, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.583714, lmScore is -2.646924, amScore is -312.263245, result is sp 布 出 ,num 3 wordListId is 332 
totalScore is -3.654094, lmScore is -2.560828, amScore is -364.421967, result is sp 布 石头 ,num 3 wordListId is 334 
totalScore is -3.349415, lmScore is -2.560828, amScore is -262.862335, result is sp 布 石头 ,num 3 wordListId is 76 
totalScore is -3.316293, lmScore is -2.646924, amScore is -223.122818, result is sp 布 出 ,num 3 wordListId is 73 
totalScore is -3.553853, lmScore is -2.659703, amScore is -298.049957, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.527016, lmScore is -2.729686, amScore is -265.776550, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.536020, lmScore is -2.659704, amScore is -292.105469, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.462814, lmScore is -2.560828, amScore is -300.662140, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.265235, lmScore is -2.369306, amScore is -298.643097, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.510334, lmScore is -2.334119, amScore is -392.071716, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.137855, lmScore is -2.180651, amScore is -319.067841, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.774613, lmScore is -1.607373, amScore is -389.080170, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.778082, lmScore is -1.607342, amScore is -390.246765, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.340926, lmScore is -2.560828, amScore is -260.032776, result is sp 布 石头 ,num 3 wordListId is 190 
totalScore is -3.308868, lmScore is -2.646924, amScore is -220.647873, result is sp 布 出 ,num 3 wordListId is 165 
totalScore is -3.546591, lmScore is -2.659703, amScore is -295.629333, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.441862, lmScore is -2.659703, amScore is -260.719727, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.590482, lmScore is -2.646924, amScore is -314.519348, result is sp 布 出 ,num 3 wordListId is 316 
totalScore is -3.660443, lmScore is -2.560828, amScore is -366.538422, result is sp 布 石头 ,num 3 wordListId is 244 
totalScore is -3.675467, lmScore is -2.646924, amScore is -342.847778, result is sp 布 出 ,num 3 wordListId is 332 
totalScore is -3.907610, lmScore is -2.659703, amScore is -415.968872, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.440626, lmScore is -2.659703, amScore is -260.307465, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.589220, lmScore is -2.646924, amScore is -314.098480, result is sp 布 出 ,num 3 wordListId is 168 
totalScore is -3.658906, lmScore is -2.560828, amScore is -366.026276, result is sp 布 石头 ,num 3 wordListId is 175 
totalScore is -3.437267, lmScore is -2.659703, amScore is -259.187958, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.586311, lmScore is -2.646924, amScore is -313.129059, result is sp 布 出 ,num 3 wordListId is 163 
totalScore is -3.656024, lmScore is -2.560828, amScore is -365.065582, result is sp 布 石头 ,num 3 wordListId is 313 
totalScore is -3.352993, lmScore is -2.560828, amScore is -264.054932, result is sp 布 石头 ,num 3 wordListId is 141 
totalScore is -3.319920, lmScore is -2.646924, amScore is -224.332108, result is sp 布 出 ,num 3 wordListId is 39 
totalScore is -3.557047, lmScore is -2.659703, amScore is -299.114624, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.524941, lmScore is -2.729686, amScore is -265.084747, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.533522, lmScore is -2.659704, amScore is -291.272888, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.460154, lmScore is -2.560828, amScore is -299.775482, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.262718, lmScore is -2.369306, amScore is -297.804260, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.506712, lmScore is -2.334119, amScore is -390.864380, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.134783, lmScore is -2.180651, amScore is -318.043884, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.771519, lmScore is -1.607373, amScore is -388.048767, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.774988, lmScore is -1.607342, amScore is -389.215363, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -2.799328, lmScore is -1.607342, amScore is -397.328705, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -2.795859, lmScore is -1.607373, amScore is -396.162079, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -3.527873, lmScore is -2.180651, amScore is -449.073883, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.642907, lmScore is -2.334119, amScore is -436.262756, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.663114, lmScore is -2.369306, amScore is -431.269592, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.792654, lmScore is -2.560828, amScore is -410.608643, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.879482, lmScore is -2.659704, amScore is -406.592712, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.842398, lmScore is -2.729686, amScore is -370.903778, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -2.783874, lmScore is -1.607342, amScore is -392.177399, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.533335, lmScore is -2.729686, amScore is -267.882965, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.543277, lmScore is -2.659704, amScore is -294.524292, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.470443, lmScore is -2.560828, amScore is -303.205109, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.272654, lmScore is -2.369306, amScore is -301.115967, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.520492, lmScore is -2.334119, amScore is -395.457642, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.146342, lmScore is -2.180651, amScore is -321.896942, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.783915, lmScore is -1.607373, amScore is -392.180725, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.787384, lmScore is -1.607342, amScore is -393.347321, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.343070, lmScore is -2.560828, amScore is -260.747437, result is sp 布 石头 ,num 3 wordListId is 313 
totalScore is -3.309531, lmScore is -2.646924, amScore is -220.869034, result is sp 布 出 ,num 3 wordListId is 163 
totalScore is -3.548758, lmScore is -2.659703, amScore is -296.351562, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.345952, lmScore is -2.560828, amScore is -261.708130, result is sp 布 石头 ,num 3 wordListId is 175 
totalScore is -3.312439, lmScore is -2.646924, amScore is -221.838470, result is sp 布 出 ,num 3 wordListId is 168 
totalScore is -3.552116, lmScore is -2.659703, amScore is -297.471039, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.435724, lmScore is -2.659703, amScore is -258.673523, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.585904, lmScore is -2.646924, amScore is -312.993286, result is sp 布 出 ,num 3 wordListId is 332 
totalScore is -3.656652, lmScore is -2.560828, amScore is -365.274689, result is sp 布 石头 ,num 3 wordListId is 334 
totalScore is -3.347489, lmScore is -2.560828, amScore is -262.220276, result is sp 布 石头 ,num 3 wordListId is 244 
totalScore is -3.313702, lmScore is -2.646924, amScore is -222.259338, result is sp 布 出 ,num 3 wordListId is 316 
totalScore is -3.553353, lmScore is -2.659703, amScore is -297.883301, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.524052, lmScore is -2.729686, amScore is -264.788391, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.532821, lmScore is -2.659704, amScore is -291.039062, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.459721, lmScore is -2.560828, amScore is -299.631073, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.261601, lmScore is -2.369306, amScore is -297.431763, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.508842, lmScore is -2.334119, amScore is -391.574280, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.134275, lmScore is -2.180651, amScore is -317.874786, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.774017, lmScore is -1.607373, amScore is -388.881287, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.777486, lmScore is -1.607342, amScore is -390.047852, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -2.802422, lmScore is -1.607342, amScore is -398.360077, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -2.798954, lmScore is -1.607373, amScore is -397.193512, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -3.530945, lmScore is -2.180651, amScore is -450.097870, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.646529, lmScore is -2.334119, amScore is -437.470093, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.665631, lmScore is -2.369306, amScore is -432.108398, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.795314, lmScore is -2.560828, amScore is -411.495300, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.881980, lmScore is -2.659704, amScore is -407.425354, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.844473, lmScore is -2.729686, amScore is -371.595581, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -2.783272, lmScore is -1.607342, amScore is -391.976654, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.530365, lmScore is -2.729686, amScore is -266.892883, result is sp sil 平 ,num 3 wordListId is 395 
totalScore is -3.540083, lmScore is -2.659704, amScore is -293.459656, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.467355, lmScore is -2.560828, amScore is -302.175720, result is sp 布 剪刀 ,num 3 wordListId is 95 
totalScore is -3.269026, lmScore is -2.369306, amScore is -299.906708, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.518981, lmScore is -2.334119, amScore is -394.953918, result is sp 布 ,num 2 wordListId is 13 
totalScore is -3.142764, lmScore is -2.180651, amScore is -320.704376, result is sp 布 ,num 2 wordListId is 13 
totalScore is -2.783313, lmScore is -1.607373, amScore is -391.979980, result is sp 布 sil ,num 3 wordListId is 188 
totalScore is -2.786782, lmScore is -1.607342, amScore is -393.146576, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.341139, lmScore is -2.560828, amScore is -260.103821, result is sp 布 石头 ,num 3 wordListId is 334 
totalScore is -3.306934, lmScore is -2.646924, amScore is -220.003204, result is sp 布 出 ,num 3 wordListId is 332 
totalScore is -3.548254, lmScore is -2.659703, amScore is -296.183533, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.529342, lmScore is -2.729686, amScore is -266.551697, result is sp sil 平 ,num 3 wordListId is 395 
