totalScore is -390.530396, lmScore is -12.631194, amScore is -377.899200, result is sil sp 是 ,num 3 
totalScore is -375.332825, lmScore is -14.599625, amScore is -360.733185, result is sp  ,num 2 
totalScore is -484.568054, lmScore is -9.247957, amScore is -475.320099, result is sp 了 ,num 2 
totalScore is -282.985382, lmScore is -9.254025, amScore is -273.731354, result is sp 的 ,num 2 
totalScore is -190.217834, lmScore is -15.625305, amScore is -174.592529, result is sp 平 ,num 2 
totalScore is -391.596619, lmScore is -12.631194, amScore is -378.965424, result is sil sp 是 ,num 3 
totalScore is -410.044037, lmScore is -11.864360, amScore is -398.179688, result is sil sp 石头 ,num 3 
totalScore is -320.112000, lmScore is -17.637651, amScore is -302.474335, result is sil sp ,num 2 
totalScore is -228.407486, lmScore is -13.086735, amScore is -215.320755, result is sil sp 锤子 ,num 3 
totalScore is -237.057648, lmScore is -11.949480, amScore is -225.108170, result is sil sp 出 ,num 3 
totalScore is -274.854919, lmScore is -17.864361, amScore is -256.990570, result is sil sp 剪刀 ,num 3 
totalScore is -303.804962, lmScore is -11.963236, amScore is -291.841736, result is sil sp 你 ,num 3 
totalScore is -383.345093, lmScore is -18.033218, amScore is -365.311859, result is sil sp  ,num 3 
totalScore is -493.070862, lmScore is -12.681551, amScore is -480.389313, result is sil sp 了 ,num 3 
totalScore is -291.582245, lmScore is -12.687618, amScore is -278.894623, result is sil sp 的 ,num 3 
totalScore is -198.560089, lmScore is -19.058899, amScore is -179.501190, result is sil sp 平 ,num 3 
totalScore is -273.121674, lmScore is -13.087712, amScore is -260.033966, result is sil sp 布 ,num 3 
totalScore is -391.583557, lmScore is -12.631194, amScore is -378.952362, result is sil sp 是 ,num 3 
totalScore is -410.030975, lmScore is -11.864360, amScore is -398.166626, result is sil sp 石头 ,num 3 
totalScore is -320.098938, lmScore is -17.637651, amScore is -302.461273, result is sil sp ,num 2 
totalScore is -228.394440, lmScore is -13.086735, amScore is -215.307709, result is sil sp 锤子 ,num 3 
totalScore is -237.044586, lmScore is -11.949480, amScore is -225.095108, result is sil sp 出 ,num 3 
totalScore is -274.841888, lmScore is -17.864361, amScore is -256.977539, result is sil sp 剪刀 ,num 3 
totalScore is -303.791931, lmScore is -11.963236, amScore is -291.828705, result is sil sp 你 ,num 3 
totalScore is -383.332031, lmScore is -18.033218, amScore is -365.298828, result is sil sp  ,num 3 
totalScore is -493.057861, lmScore is -12.681551, amScore is -480.376312, result is sil sp 了 ,num 3 
totalScore is -291.569183, lmScore is -12.687618, amScore is -278.881561, result is sil sp 的 ,num 3 
totalScore is -198.547043, lmScore is -19.058899, amScore is -179.488144, result is sil sp 平 ,num 3 
totalScore is -273.108612, lmScore is -13.087712, amScore is -260.020905, result is sil sp 布 ,num 3 
totalScore is -383.512268, lmScore is -9.197600, amScore is -374.314667, result is sp 是 ,num 2 
totalScore is -401.973785, lmScore is -8.430766, amScore is -393.543030, result is sp 石头 ,num 2 
totalScore is -312.198975, lmScore is -14.204058, amScore is -297.994904, result is sp ,num 1 
totalScore is -220.112991, lmScore is -9.653141, amScore is -210.459854, result is sp 锤子 ,num 2 
totalScore is -228.771088, lmScore is -8.515886, amScore is -220.255203, result is sp 出 ,num 2 
totalScore is -266.588409, lmScore is -14.430766, amScore is -252.157654, result is sp 剪刀 ,num 2 
totalScore is -295.790741, lmScore is -8.529642, amScore is -287.261108, result is sp 你 ,num 2 
totalScore is -375.492615, lmScore is -14.599625, amScore is -360.893005, result is sp  ,num 2 
totalScore is -485.259338, lmScore is -9.247957, amScore is -476.011383, result is sp 了 ,num 2 
totalScore is -283.421173, lmScore is -9.254025, amScore is -274.167145, result is sp 的 ,num 2 
totalScore is -190.242813, lmScore is -15.625305, amScore is -174.617508, result is sp 平 ,num 2 
totalScore is -177.916656, lmScore is -15.625305, amScore is -162.291351, result is sp 平 ,num 2 
totalScore is -207.645233, lmScore is -9.254025, amScore is -198.391205, result is sp 的 ,num 2 
totalScore is -314.486328, lmScore is -9.247957, amScore is -305.238373, result is sp 了 ,num 2 
totalScore is -313.485168, lmScore is -14.599625, amScore is -298.885559, result is sp  ,num 2 
totalScore is -175.569397, lmScore is -8.529642, amScore is -167.039749, result is sp 你 ,num 2 
totalScore is -191.446045, lmScore is -14.430766, amScore is -177.015274, result is sp 剪刀 ,num 2 
totalScore is -207.312729, lmScore is -8.515886, amScore is -198.796844, result is sp 出 ,num 2 
totalScore is -214.358597, lmScore is -9.653141, amScore is -204.705460, result is sp 锤子 ,num 2 
totalScore is -222.118027, lmScore is -14.204058, amScore is -207.913971, result is sp ,num 1 
totalScore is -255.253036, lmScore is -8.430766, amScore is -246.822266, result is sp 石头 ,num 2 
totalScore is -259.498108, lmScore is -9.197600, amScore is -250.300522, result is sp 是 ,num 2 
totalScore is -234.819672, lmScore is -7.476335, amScore is -227.343338, result is sp sil ,num 2 
totalScore is -384.437500, lmScore is -9.197600, amScore is -375.239899, result is sp 是 ,num 2 
totalScore is -402.977386, lmScore is -8.430766, amScore is -394.546631, result is sp 石头 ,num 2 
totalScore is -312.541382, lmScore is -14.204058, amScore is -298.337311, result is sp ,num 1 
totalScore is -220.422516, lmScore is -9.653141, amScore is -210.769379, result is sp 锤子 ,num 2 
totalScore is -229.121460, lmScore is -8.515886, amScore is -220.605576, result is sp 出 ,num 2 
totalScore is -267.252777, lmScore is -14.430766, amScore is -252.822021, result is sp 剪刀 ,num 2 
totalScore is -296.154816, lmScore is -8.529642, amScore is -287.625183, result is sp 你 ,num 2 
totalScore is -376.082275, lmScore is -14.599625, amScore is -361.482635, result is sp  ,num 2 
totalScore is -486.356323, lmScore is -9.247957, amScore is -477.108368, result is sp 了 ,num 2 
totalScore is -284.072144, lmScore is -9.254025, amScore is -274.818115, result is sp 的 ,num 2 
totalScore is -190.386063, lmScore is -15.625305, amScore is -174.760757, result is sp 平 ,num 2 
totalScore is -265.508789, lmScore is -9.654119, amScore is -255.854660, result is sp 布 ,num 2 
totalScore is -231.248108, lmScore is -13.087712, amScore is -218.160400, result is sil sp 布 ,num 3 
totalScore is -186.220886, lmScore is -19.058899, amScore is -167.161987, result is sil sp 平 ,num 3 
totalScore is -215.793228, lmScore is -12.687618, amScore is -203.105606, result is sil sp 的 ,num 3 
totalScore is -322.284851, lmScore is -12.681551, amScore is -309.603302, result is sil sp 了 ,num 3 
totalScore is -321.324524, lmScore is -18.033218, amScore is -303.291321, result is sil sp  ,num 3 
totalScore is -183.570526, lmScore is -11.963236, amScore is -171.607285, result is sil sp 你 ,num 3 
totalScore is -199.699539, lmScore is -17.864361, amScore is -181.835175, result is sil sp 剪刀 ,num 3 
totalScore is -215.586197, lmScore is -11.949480, amScore is -203.636719, result is sil sp 出 ,num 3 
totalScore is -222.640030, lmScore is -13.086735, amScore is -209.553299, result is sil sp 锤子 ,num 3 
totalScore is -230.018021, lmScore is -17.637651, amScore is -212.380371, result is sil sp ,num 2 
totalScore is -263.310272, lmScore is -11.864360, amScore is -251.445923, result is sil sp 石头 ,num 3 
totalScore is -267.569397, lmScore is -12.631194, amScore is -254.938217, result is sil sp 是 ,num 3 
totalScore is -244.290253, lmScore is -10.909929, amScore is -233.380325, result is sil sp sil ,num 3 
totalScore is -391.951233, lmScore is -12.631194, amScore is -379.320038, result is sil sp 是 ,num 3 
totalScore is -410.491119, lmScore is -11.864360, amScore is -398.626770, result is sil sp 石头 ,num 3 
totalScore is -320.055084, lmScore is -17.637651, amScore is -302.417419, result is sil sp ,num 2 
totalScore is -227.936249, lmScore is -13.086735, amScore is -214.849518, result is sil sp 锤子 ,num 3 
totalScore is -236.635162, lmScore is -11.949480, amScore is -224.685684, result is sil sp 出 ,num 3 
totalScore is -274.766510, lmScore is -17.864361, amScore is -256.902161, result is sil sp 剪刀 ,num 3 
totalScore is -303.668579, lmScore is -11.963236, amScore is -291.705353, result is sil sp 你 ,num 3 
totalScore is -383.596008, lmScore is -18.033218, amScore is -365.562805, result is sil sp  ,num 3 
totalScore is -493.870056, lmScore is -12.681551, amScore is -481.188507, result is sil sp 了 ,num 3 
totalScore is -291.585876, lmScore is -12.687618, amScore is -278.898254, result is sil sp 的 ,num 3 
totalScore is -197.899796, lmScore is -19.058899, amScore is -178.840897, result is sil sp 平 ,num 3 
totalScore is -273.022461, lmScore is -13.087712, amScore is -259.934753, result is sil sp 布 ,num 3 
totalScore is -391.947052, lmScore is -12.631194, amScore is -379.315857, result is sil sp 是 ,num 3 
totalScore is -410.486908, lmScore is -11.864360, amScore is -398.622559, result is sil sp 石头 ,num 3 
totalScore is -320.050903, lmScore is -17.637651, amScore is -302.413239, result is sil sp ,num 2 
totalScore is -227.932053, lmScore is -13.086735, amScore is -214.845322, result is sil sp 锤子 ,num 3 
totalScore is -236.630981, lmScore is -11.949480, amScore is -224.681503, result is sil sp 出 ,num 3 
totalScore is -274.762299, lmScore is -17.864361, amScore is -256.897949, result is sil sp 剪刀 ,num 3 
totalScore is -303.664368, lmScore is -11.963236, amScore is -291.701141, result is sil sp 你 ,num 3 
totalScore is -383.591797, lmScore is -18.033218, amScore is -365.558594, result is sil sp  ,num 3 
totalScore is -493.865845, lmScore is -12.681551, amScore is -481.184296, result is sil sp 了 ,num 3 
totalScore is -291.581665, lmScore is -12.687618, amScore is -278.894043, result is sil sp 的 ,num 3 
totalScore is -197.895615, lmScore is -19.058899, amScore is -178.836716, result is sil sp 平 ,num 3 
totalScore is -273.018280, lmScore is -13.087712, amScore is -259.930573, result is sil sp 布 ,num 3 
totalScore is -375.767273, lmScore is -14.599625, amScore is -361.167633, result is sp  ,num 2 
totalScore is -486.085449, lmScore is -9.247957, amScore is -476.837494, result is sp 了 ,num 2 
totalScore is -283.451752, lmScore is -9.254025, amScore is -274.197723, result is sp 的 ,num 2 
totalScore is -189.607529, lmScore is -15.625305, amScore is -173.982224, result is sp 平 ,num 2 
totalScore is -264.919373, lmScore is -9.654119, amScore is -255.265244, result is sp 布 ,num 2 
totalScore is -231.261154, lmScore is -13.087712, amScore is -218.173447, result is sil sp 布 ,num 3 
totalScore is -186.233917, lmScore is -19.058899, amScore is -167.175018, result is sil sp 平 ,num 3 
totalScore is -215.806274, lmScore is -12.687618, amScore is -203.118652, result is sil sp 的 ,num 3 
totalScore is -322.297913, lmScore is -12.681551, amScore is -309.616364, result is sil sp 了 ,num 3 
totalScore is -321.337585, lmScore is -18.033218, amScore is -303.304382, result is sil sp  ,num 3 
totalScore is -183.583572, lmScore is -11.963236, amScore is -171.620331, result is sil sp 你 ,num 3 
totalScore is -199.712585, lmScore is -17.864361, amScore is -181.848221, result is sil sp 剪刀 ,num 3 
totalScore is -215.599258, lmScore is -11.949480, amScore is -203.649780, result is sil sp 出 ,num 3 
totalScore is -222.653061, lmScore is -13.086735, amScore is -209.566330, result is sil sp 锤子 ,num 3 
totalScore is -230.031067, lmScore is -17.637651, amScore is -212.393417, result is sil sp ,num 2 
totalScore is -263.323303, lmScore is -11.864360, amScore is -251.458954, result is sil sp 石头 ,num 3 
totalScore is -267.582458, lmScore is -12.631194, amScore is -254.951279, result is sil sp 是 ,num 3 
totalScore is -243.629974, lmScore is -10.909929, amScore is -232.720047, result is sil sp sil ,num 3 
totalScore is -391.404755, lmScore is -12.631194, amScore is -378.773560, result is sil sp 是 ,num 3 
totalScore is -409.958466, lmScore is -11.864360, amScore is -398.094116, result is sil sp 石头 ,num 3 
totalScore is -319.679077, lmScore is -17.637651, amScore is -302.041412, result is sil sp ,num 2 
totalScore is -227.180008, lmScore is -13.086735, amScore is -214.093277, result is sil sp 锤子 ,num 3 
totalScore is -235.886780, lmScore is -11.949480, amScore is -223.937302, result is sil sp 出 ,num 3 
totalScore is -274.037964, lmScore is -17.864361, amScore is -256.173615, result is sil sp 剪刀 ,num 3 
totalScore is -303.191376, lmScore is -11.963236, amScore is -291.228149, result is sil sp 你 ,num 3 
totalScore is -383.281006, lmScore is -18.033218, amScore is -365.247803, result is sil sp  ,num 3 
totalScore is -493.599182, lmScore is -12.681551, amScore is -480.917633, result is sil sp 了 ,num 3 
totalScore is -290.965485, lmScore is -12.687618, amScore is -278.277863, result is sil sp 的 ,num 3 
totalScore is -197.121262, lmScore is -19.058899, amScore is -178.062363, result is sil sp 平 ,num 3 
totalScore is -272.433075, lmScore is -13.087712, amScore is -259.345367, result is sil sp 布 ,num 3 
totalScore is -384.611450, lmScore is -9.197600, amScore is -375.413849, result is sp 是 ,num 2 
totalScore is -403.229706, lmScore is -8.430766, amScore is -394.798950, result is sp 石头 ,num 2 
totalScore is -312.098175, lmScore is -14.204058, amScore is -297.894104, result is sp ,num 1 
totalScore is -219.486877, lmScore is -9.653141, amScore is -209.833740, result is sp 锤子 ,num 2 
totalScore is -228.203888, lmScore is -8.515886, amScore is -219.688004, result is sp 出 ,num 2 
totalScore is -266.566254, lmScore is -14.430766, amScore is -252.135498, result is sp 剪刀 ,num 2 
totalScore is -295.381531, lmScore is -8.529642, amScore is -286.851898, result is sp 你 ,num 2 
totalScore is -376.454407, lmScore is -14.599625, amScore is -361.854767, result is sp  ,num 2 
totalScore is -487.273682, lmScore is -9.247957, amScore is -478.025726, result is sp 了 ,num 2 
totalScore is -283.687500, lmScore is -9.254025, amScore is -274.433472, result is sp 的 ,num 2 
totalScore is -189.057343, lmScore is -15.625305, amScore is -173.432037, result is sp 平 ,num 2 
totalScore is -265.074310, lmScore is -9.654119, amScore is -255.420181, result is sp 布 ,num 2 
totalScore is -230.308594, lmScore is -13.087712, amScore is -217.220886, result is sil sp 布 ,num 3 
totalScore is -184.764313, lmScore is -19.058899, amScore is -165.705414, result is sil sp 平 ,num 3 
totalScore is -214.754990, lmScore is -12.687618, amScore is -202.067368, result is sil sp 的 ,num 3 
totalScore is -322.109131, lmScore is -12.681551, amScore is -309.427582, result is sil sp 了 ,num 3 
totalScore is -321.105347, lmScore is -18.033218, amScore is -303.072144, result is sil sp  ,num 3 
totalScore is -182.422684, lmScore is -11.963236, amScore is -170.459442, result is sil sp 你 ,num 3 
totalScore is -198.370621, lmScore is -17.864361, amScore is -180.506256, result is sil sp 剪刀 ,num 3 
totalScore is -214.344254, lmScore is -11.949480, amScore is -202.394775, result is sil sp 出 ,num 3 
totalScore is -221.422012, lmScore is -13.086735, amScore is -208.335281, result is sil sp 锤子 ,num 3 
totalScore is -229.224884, lmScore is -17.637651, amScore is -211.587234, result is sil sp ,num 2 
totalScore is -262.572968, lmScore is -11.864360, amScore is -250.708618, result is sil sp 石头 ,num 3 
totalScore is -266.836517, lmScore is -12.631194, amScore is -254.205338, result is sil sp 是 ,num 3 
totalScore is -243.331284, lmScore is -10.909929, amScore is -232.421356, result is sil sp sil ,num 3 
totalScore is -187.676468, lmScore is -10.909929, amScore is -176.766541, result is sil sp sil ,num 3 
totalScore is -199.840714, lmScore is -12.631194, amScore is -187.209518, result is sil sp 是 ,num 3 
totalScore is -201.749710, lmScore is -11.864360, amScore is -189.885345, result is sil sp 石头 ,num 3 
totalScore is -235.478806, lmScore is -17.637651, amScore is -217.841156, result is sil sp ,num 2 
totalScore is -166.385742, lmScore is -13.086735, amScore is -153.299011, result is sil sp 锤子 ,num 3 
totalScore is -166.822113, lmScore is -11.949480, amScore is -154.872635, result is sil sp 出 ,num 3 
totalScore is -177.663727, lmScore is -17.864361, amScore is -159.799362, result is sil sp 剪刀 ,num 3 
totalScore is -214.704742, lmScore is -11.963236, amScore is -202.741501, result is sil sp 你 ,num 3 
totalScore is -238.077820, lmScore is -18.033218, amScore is -220.044601, result is sil sp  ,num 3 
totalScore is -257.066589, lmScore is -12.681551, amScore is -244.385025, result is sil sp 了 ,num 3 
totalScore is -187.333237, lmScore is -12.687618, amScore is -174.645615, result is sil sp 的 ,num 3 
totalScore is -169.253708, lmScore is -19.058899, amScore is -150.194809, result is sil sp 平 ,num 3 
totalScore is -199.287048, lmScore is -13.087712, amScore is -186.199341, result is sil sp 布 ,num 3 
totalScore is -222.794876, lmScore is -9.654119, amScore is -213.140762, result is sp 布 ,num 2 
totalScore is -177.250595, lmScore is -15.625305, amScore is -161.625290, result is sp 平 ,num 2 
totalScore is -207.241287, lmScore is -9.254025, amScore is -197.987259, result is sp 的 ,num 2 
totalScore is -314.595428, lmScore is -9.247957, amScore is -305.347473, result is sp 了 ,num 2 
totalScore is -313.591675, lmScore is -14.599625, amScore is -298.992065, result is sp  ,num 2 
totalScore is -376.355713, lmScore is -14.599625, amScore is -361.756104, result is sp  ,num 2 
totalScore is -487.174561, lmScore is -9.247957, amScore is -477.926605, result is sp 了 ,num 2 
totalScore is -284.108398, lmScore is -9.254025, amScore is -274.854370, result is sp 的 ,num 2 
totalScore is -189.742004, lmScore is -15.625305, amScore is -174.116699, result is sp 平 ,num 2 
totalScore is -265.428192, lmScore is -9.654119, amScore is -255.774063, result is sp 布 ,num 2 
totalScore is -230.893799, lmScore is -13.087712, amScore is -217.806091, result is sil sp 布 ,num 3 
totalScore is -185.538651, lmScore is -19.058899, amScore is -166.479752, result is sil sp 平 ,num 3 
totalScore is -215.371185, lmScore is -12.687618, amScore is -202.683563, result is sil sp 的 ,num 3 
totalScore is -322.375793, lmScore is -12.681551, amScore is -309.694244, result is sil sp 了 ,num 3 
totalScore is -321.416199, lmScore is -18.033218, amScore is -303.382996, result is sil sp  ,num 3 
totalScore is -182.895676, lmScore is -11.963236, amScore is -170.932434, result is sil sp 你 ,num 3 
totalScore is -199.094971, lmScore is -17.864361, amScore is -181.230606, result is sil sp 剪刀 ,num 3 
totalScore is -215.088455, lmScore is -11.949480, amScore is -203.138977, result is sil sp 出 ,num 3 
totalScore is -222.174088, lmScore is -13.086735, amScore is -209.087357, result is sil sp 锤子 ,num 3 
totalScore is -229.596725, lmScore is -17.637651, amScore is -211.959076, result is sil sp ,num 2 
totalScore is -263.101440, lmScore is -11.864360, amScore is -251.237091, result is sil sp 石头 ,num 3 
totalScore is -267.378784, lmScore is -12.631194, amScore is -254.747604, result is sil sp 是 ,num 3 
totalScore is -243.948944, lmScore is -10.909929, amScore is -233.039017, result is sil sp sil ,num 3 
totalScore is -392.318573, lmScore is -12.631194, amScore is -379.687378, result is sil sp 是 ,num 3 
totalScore is -410.954376, lmScore is -11.864360, amScore is -399.090027, result is sil sp 石头 ,num 3 
totalScore is -320.023834, lmScore is -17.637651, amScore is -302.386169, result is sil sp ,num 2 
totalScore is -227.474335, lmScore is -13.086735, amScore is -214.387604, result is sil sp 锤子 ,num 3 
totalScore is -236.222015, lmScore is -11.949480, amScore is -224.272537, result is sil sp 出 ,num 3 
totalScore is -274.690063, lmScore is -17.864361, amScore is -256.825714, result is sil sp 剪刀 ,num 3 
totalScore is -303.558228, lmScore is -11.963236, amScore is -291.595001, result is sil sp 你 ,num 3 
totalScore is -383.869507, lmScore is -18.033218, amScore is -365.836273, result is sil sp  ,num 3 
totalScore is -494.688232, lmScore is -12.681551, amScore is -482.006683, result is sil sp 了 ,num 3 
totalScore is -291.622131, lmScore is -12.687618, amScore is -278.934509, result is sil sp 的 ,num 3 
totalScore is -197.255737, lmScore is -19.058899, amScore is -178.196838, result is sil sp 平 ,num 3 
totalScore is -272.941895, lmScore is -13.087712, amScore is -259.854187, result is sil sp 布 ,num 3 
totalScore is -384.248444, lmScore is -9.197600, amScore is -375.050842, result is sp 是 ,num 2 
totalScore is -402.898468, lmScore is -8.430766, amScore is -394.467712, result is sp 石头 ,num 2 
totalScore is -312.127869, lmScore is -14.204058, amScore is -297.923798, result is sp ,num 1 
totalScore is -219.193359, lmScore is -9.653141, amScore is -209.540222, result is sp 锤子 ,num 2 
totalScore is -227.949158, lmScore is -8.515886, amScore is -219.433273, result is sp 出 ,num 2 
totalScore is -266.437317, lmScore is -14.430766, amScore is -252.006546, result is sp 剪刀 ,num 2 
totalScore is -295.562286, lmScore is -8.529642, amScore is -287.032654, result is sp 你 ,num 2 
totalScore is -376.031372, lmScore is -14.599625, amScore is -361.431732, result is sp  ,num 2 
totalScore is -486.896423, lmScore is -9.247957, amScore is -477.648468, result is sp 了 ,num 2 
totalScore is -283.476685, lmScore is -9.254025, amScore is -274.222656, result is sp 的 ,num 2 
totalScore is -188.951569, lmScore is -15.625305, amScore is -173.326263, result is sp 平 ,num 2 
totalScore is -264.828308, lmScore is -9.654119, amScore is -255.174179, result is sp 布 ,num 2 
totalScore is -230.897980, lmScore is -13.087712, amScore is -217.810272, result is sil sp 布 ,num 3 
totalScore is -185.542847, lmScore is -19.058899, amScore is -166.483948, result is sil sp 平 ,num 3 
totalScore is -215.375381, lmScore is -12.687618, amScore is -202.687759, result is sil sp 的 ,num 3 
totalScore is -322.379974, lmScore is -12.681551, amScore is -309.698425, result is sil sp 了 ,num 3 
totalScore is -321.420349, lmScore is -18.033218, amScore is -303.387146, result is sil sp  ,num 3 
totalScore is -182.899872, lmScore is -11.963236, amScore is -170.936630, result is sil sp 你 ,num 3 
totalScore is -199.099167, lmScore is -17.864361, amScore is -181.234802, result is sil sp 剪刀 ,num 3 
totalScore is -215.092636, lmScore is -11.949480, amScore is -203.143158, result is sil sp 出 ,num 3 
totalScore is -222.178268, lmScore is -13.086735, amScore is -209.091537, result is sil sp 锤子 ,num 3 
totalScore is -229.600906, lmScore is -17.637651, amScore is -211.963257, result is sil sp ,num 2 
totalScore is -263.105621, lmScore is -11.864360, amScore is -251.241272, result is sil sp 石头 ,num 3 
totalScore is -267.382996, lmScore is -12.631194, amScore is -254.751816, result is sil sp 是 ,num 3 
totalScore is -243.274261, lmScore is -10.909929, amScore is -232.364334, result is sil sp sil ,num 3 
totalScore is -188.336746, lmScore is -10.909929, amScore is -177.426819, result is sil sp sil ,num 3 
totalScore is -199.827652, lmScore is -12.631194, amScore is -187.196457, result is sil sp 是 ,num 3 
totalScore is -201.736664, lmScore is -11.864360, amScore is -189.872299, result is sil sp 石头 ,num 3 
totalScore is -235.465775, lmScore is -17.637651, amScore is -217.828125, result is sil sp ,num 2 
totalScore is -166.372696, lmScore is -13.086735, amScore is -153.285965, result is sil sp 锤子 ,num 3 
totalScore is -166.809067, lmScore is -11.949480, amScore is -154.859589, result is sil sp 出 ,num 3 
totalScore is -177.650681, lmScore is -17.864361, amScore is -159.786316, result is sil sp 剪刀 ,num 3 
totalScore is -214.691696, lmScore is -11.963236, amScore is -202.728455, result is sil sp 你 ,num 3 
totalScore is -238.064774, lmScore is -18.033218, amScore is -220.031555, result is sil sp  ,num 3 
totalScore is -257.053528, lmScore is -12.681551, amScore is -244.371964, result is sil sp 了 ,num 3 
totalScore is -187.320190, lmScore is -12.687618, amScore is -174.632568, result is sil sp 的 ,num 3 
totalScore is -169.240662, lmScore is -19.058899, amScore is -150.181763, result is sil sp 平 ,num 3 
